Bat1,Runs,BF,SR,4s,6s,Opposition,Ground,Start Date,Type
1,1,5,20.00,0,0,v KKR,Bengaluru,18 Apr 2008,Twenty20
23,23,14,164.28,3,1,v MI,Wankhede,20 Apr 2008,Twenty20
13,13,14,92.85,0,1,v RR,Bengaluru,26 Apr 2008,Twenty20
12,12,7,171.42,2,0,v CSK,Bengaluru,28 Apr 2008,Twenty20
1*,1,1,100.00,0,0,v Daredevils,Delhi,30 Apr 2008,Twenty20
38,38,29,131.03,1,2,v Chargers,Bengaluru,3 May 2008,Twenty20
34,34,36,94.44,5,0,v Kings XI,Bengaluru,5 May 2008,Twenty20
DNB,-,-,-,-,-,v KKR,Eden Gardens,8 May 2008,Twenty20
21,21,22,95.45,4,0,v Kings XI,Mohali,12 May 2008,Twenty20
3,3,7,42.85,0,0,v RR,Jaipur,17 May 2008,Twenty20
10,10,16,62.50,1,0,v CSK,Chennai,21 May 2008,Twenty20
9,9,5,180.00,2,0,v Chargers,Hyderabad,25 May 2008,Twenty20
0,0,1,0.00,0,0,v MI,Bengaluru,28 May 2008,Twenty20
3,3,8,37.50,0,0,v RR,Cape Town,18 Apr 2009,Twenty20
11,11,13,84.61,0,1,v CSK,Gqeberha,20 Apr 2009,Twenty20
50,50,32,156.25,7,0,v Chargers,Cape Town,22 Apr 2009,Twenty20
2,2,3,66.66,0,0,v Kings XI,Durban,24 Apr 2009,Twenty20
22,22,24,91.66,1,0,v Daredevils,Gqeberha,26 Apr 2009,Twenty20
19,19,12,158.33,1,1,v KKR,Durban,29 Apr 2009,Twenty20
16,16,14,114.28,2,0,v Kings XI,Durban,1 May 2009,Twenty20
DNB,-,-,-,-,-,v MI,Johannesburg,3 May 2009,Twenty20
15,15,22,68.18,1,0,v RR,Centurion,7 May 2009,Twenty20
20,20,22,90.90,4,0,v MI,Gqeberha,10 May 2009,Twenty20
DNB,-,-,-,-,-,v KKR,Centurion,12 May 2009,Twenty20
38,38,35,108.57,4,2,v CSK,Durban,14 May 2009,Twenty20
DNB,-,-,-,-,-,v Daredevils,Johannesburg,19 May 2009,Twenty20
19*,19,9,211.11,0,2,v Chargers,Centurion,21 May 2009,Twenty20
24*,24,17,141.17,1,2,v CSK,Johannesburg,23 May 2009,Twenty20
7,7,8,87.50,1,0,v Chargers,Johannesburg,24 May 2009,Twenty20
2,2,5,40.00,0,0,v KKR,Eden Gardens,14 Mar 2010,Twenty20
16*,16,12,133.33,1,1,v Kings XI,Bengaluru,16 Mar 2010,Twenty20
DNB,-,-,-,-,-,v RR,Bengaluru,18 Mar 2010,Twenty20
17,17,12,141.66,0,2,v MI,Brabourne,20 Mar 2010,Twenty20
24,24,16,150.00,2,1,v CSK,Bengaluru,23 Mar 2010,Twenty20
38*,38,23,165.21,4,1,v Daredevils,Bengaluru,25 Mar 2010,Twenty20
34,34,24,141.66,3,1,v CSK,Chennai,31 Mar 2010,Twenty20
42,42,26,161.53,4,1,v Kings XI,Mohali,2 Apr 2010,Twenty20
13,13,11,118.18,1,0,v Daredevils,Delhi,4 Apr 2010,Twenty20
58,58,35,165.71,4,4,v Chargers,Bengaluru,8 Apr 2010,Twenty20
DNB,-,-,-,-,-,v KKR,Bengaluru,10 Apr 2010,Twenty20
3,3,4,75.00,0,0,v Chargers,Nagpur,12 Apr 2010,Twenty20
14,14,13,107.69,2,0,v RR,Jaipur,14 Apr 2010,Twenty20
37,37,24,154.16,4,1,v MI,Bengaluru,17 Apr 2010,Twenty20
9,9,7,128.57,1,0,v MI,DY Patil,21 Apr 2010,Twenty20
DNB,-,-,-,-,-,v Chargers,DY Patil,24 Apr 2010,Twenty20
23,23,18,127.77,4,0,v Kochi,Kochi,9 Apr 2011,Twenty20
12,12,19,63.15,2,0,v MI,Bengaluru,12 Apr 2011,Twenty20
71,71,51,139.21,5,3,v Chargers,Hyderabad,14 Apr 2011,Twenty20
35,35,28,125.00,4,1,v CSK,Chennai,16 Apr 2011,Twenty20
30*,30,23,130.43,3,1,v KKR,Eden Gardens,22 Apr 2011,Twenty20
56,56,38,147.36,8,2,v Daredevils,Delhi,26 Apr 2011,Twenty20
67,67,42,159.52,4,4,v Warriors,Bengaluru,29 Apr 2011,Twenty20
27,27,31,87.09,4,0,v Kings XI,Bengaluru,6 May 2011,Twenty20
27*,27,33,81.81,3,0,v Kochi,Bengaluru,8 May 2011,Twenty20
39*,39,34,114.70,3,1,v RR,Jaipur,11 May 2011,Twenty20
15,15,15,100.00,2,0,v KKR,Bengaluru,14 May 2011,Twenty20
11,11,11,100.00,2,0,v Kings XI,Dharamsala,17 May 2011,Twenty20
31,31,29,106.89,5,0,v CSK,Bengaluru,22 May 2011,Twenty20
70*,70,44,159.09,5,3,v CSK,Wankhede,24 May 2011,Twenty20
8,8,12,66.66,0,0,v MI,Chennai,27 May 2011,Twenty20
35,35,32,109.37,1,1,v CSK,Chennai,28 May 2011,Twenty20
8,8,8,100.00,1,0,v Daredevils,Bengaluru,7 Apr 2012,Twenty20
6,6,14,42.85,1,0,v KKR,Bengaluru,10 Apr 2012,Twenty20
57,57,46,123.91,5,2,v CSK,Chennai,12 Apr 2012,Twenty20
22,22,18,122.22,2,0,v RR,Bengaluru,15 Apr 2012,Twenty20
16,16,19,84.21,1,0,v Warriors,Bengaluru,17 Apr 2012,Twenty20
4,4,4,100.00,1,0,v Kings XI,Mohali,20 Apr 2012,Twenty20
16,16,16,100.00,2,0,v RR,Jaipur,23 Apr 2012,Twenty20
TDNB,-,-,-,-,-,v CSK,Bengaluru,25 Apr 2012,Twenty20
18,18,19,94.73,3,0,v KKR,Eden Gardens,28 Apr 2012,Twenty20
45,45,42,107.14,3,2,v Kings XI,Bengaluru,2 May 2012,Twenty20
9,9,9,100.00,1,0,v Chargers,Bengaluru,6 May 2012,Twenty20
36*,36,25,144.00,1,2,v MI,Wankhede,9 May 2012,Twenty20
9,9,12,75.00,1,0,v Warriors,Pune,11 May 2012,Twenty20
3,3,1,300.00,0,0,v MI,Bengaluru,14 May 2012,Twenty20
73*,73,53,137.73,9,1,v Daredevils,Delhi,17 May 2012,Twenty20
42,42,40,105.00,2,2,v Chargers,Hyderabad,20 May 2012,Twenty20
24,24,14,171.42,4,1,v MI,Bengaluru,4 Apr 2013,Twenty20
46,46,44,104.54,5,1,v SRH,Hyderabad,7 Apr 2013,Twenty20
93*,93,47,197.87,11,4,v SRH,Bengaluru,9 Apr 2013,Twenty20
35,35,27,129.62,4,2,v KKR,Bengaluru,11 Apr 2013,Twenty20
58,58,47,123.40,2,2,v CSK,Chennai,13 Apr 2013,Twenty20
65,65,50,130.00,7,1,v Daredevils,Bengaluru,16 Apr 2013,Twenty20
1,1,4,25.00,0,0,v RR,Bengaluru,20 Apr 2013,Twenty20
11,11,9,122.22,0,1,v Warriors,Bengaluru,23 Apr 2013,Twenty20
1,1,4,25.00,0,0,v MI,Wankhede,27 Apr 2013,Twenty20
32,32,35,91.42,3,0,v RR,Jaipur,29 Apr 2013,Twenty20
25,25,18,138.88,3,0,v Warriors,Pune,2 May 2013,Twenty20
14,14,14,100.00,1,0,v Kings XI,Mohali,6 May 2013,Twenty20
99,99,58,170.68,10,4,v Daredevils,Delhi,10 May 2013,Twenty20
17,17,14,121.42,2,0,v KKR,Ranchi,12 May 2013,Twenty20
57,57,43,132.55,6,2,v Kings XI,Bengaluru,14 May 2013,Twenty20
56*,56,29,193.10,6,4,v CSK,Bengaluru,18 May 2013,Twenty20
49*,49,38,128.94,2,3,v Daredevils,Sharjah,17 Apr 2014,Twenty20
0,0,2,0.00,0,0,v MI,Dubai (DICS),19 Apr 2014,Twenty20
31,31,23,134.78,4,0,v KKR,Sharjah,24 Apr 2014,Twenty20
21,21,25,84.00,3,0,v RR,Abu Dhabi,26 Apr 2014,Twenty20
4,4,2,200.00,1,0,v Kings XI,Dubai (DICS),28 Apr 2014,Twenty20
0,0,5,0.00,0,0,v SRH,Bengaluru,4 May 2014,Twenty20
35,35,28,125.00,2,2,v MI,Wankhede,6 May 2014,Twenty20
0,0,1,0.00,0,0,v Kings XI,Bengaluru,9 May 2014,Twenty20
4,4,9,44.44,1,0,v RR,Bengaluru,11 May 2014,Twenty20
10,10,11,90.90,0,0,v Daredevils,Bengaluru,13 May 2014,Twenty20
27,27,29,93.10,1,1,v CSK,Ranchi,18 May 2014,Twenty20
67,67,41,163.41,4,4,v SRH,Hyderabad,20 May 2014,Twenty20
38,38,31,122.58,3,1,v KKR,Eden Gardens,22 May 2014,Twenty20
73,73,49,148.97,2,5,v CSK,Bengaluru,24 May 2014,Twenty20
13,13,15,86.66,0,1,v KKR,Eden Gardens,11 Apr 2015,Twenty20
41,41,37,110.81,4,2,v SRH,Bengaluru,13 Apr 2015,Twenty20
18,18,18,100.00,1,1,v MI,Bengaluru,19 Apr 2015,Twenty20
51,51,42,121.42,4,2,v CSK,Bengaluru,22 Apr 2015,Twenty20
62*,62,46,134.78,1,3,v RR,Ahmedabad,24 Apr 2015,Twenty20
35*,35,23,152.17,6,0,v Daredevils,Delhi,26 Apr 2015,Twenty20
1,1,4,25.00,0,0,v RR,Bengaluru,29 Apr 2015,Twenty20
34,34,20,170.00,2,3,v KKR,Bengaluru,2 May 2015,Twenty20
48,48,44,109.09,2,1,v CSK,Chennai,4 May 2015,Twenty20
32,32,30,106.66,3,1,v Kings XI,Bengaluru,6 May 2015,Twenty20
82*,82,50,164.00,6,4,v MI,Wankhede,10 May 2015,Twenty20
19,19,9,211.11,2,1,v Kings XI,Mohali,13 May 2015,Twenty20
44*,44,19,231.57,3,3,v SRH,Hyderabad,15 May 2015,Twenty20
1*,1,2,50.00,0,0,v Daredevils,Bengaluru,17 May 2015,Twenty20
12,12,18,66.66,0,0,v RR,Pune,20 May 2015,Twenty20
12,12,9,133.33,1,1,v CSK,Ranchi,22 May 2015,Twenty20
75,75,51,147.05,7,3,v SRH,Bengaluru,12 Apr 2016,Twenty20
79,79,48,164.58,7,3,v Daredevils,Bengaluru,17 Apr 2016,Twenty20
33,33,30,110.00,3,0,v MI,Wankhede,20 Apr 2016,Twenty20
