Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Scorecard,is_not_out,DNB
12,33,22,1,0,54.54,2,lbw,1,Sri Lanka,Dambulla,2008-08-18,ODI # 2742,0,0
37,82,67,6,0,55.22,2,caught,2,Sri Lanka,Dambulla,2008-08-20,ODI # 2745,0,0
25,40,38,4,0,65.78,1,run out,1,Sri Lanka,Colombo (RPS),2008-08-24,ODI # 2750,0,0
54,87,66,7,0,81.81,1,bowled,1,Sri Lanka,Colombo (RPS),2008-08-27,ODI # 2755,0,0
31,45,46,3,1,67.39,1,lbw,2,Sri Lanka,Colombo (RPS),2008-08-29,ODI # 2756,0,0
2,6,2,0,0,100.0,7,not out,1,Sri Lanka,Colombo (RPS),2009-09-14,ODI # 2889,1,0
16,28,24,1,0,66.66,4,caught,2,Pakistan,Centurion,2009-09-26,ODI # 2898,0,0
0,0,0,0,0,0.0,-,-,-,Australia,Centurion,2009-09-28,ODI # 2901,0,1
79,121,104,9,2,75.96,4,not out,2,West Indies,Johannesburg,2009-09-30,ODI # 2904,1,0
30,53,41,3,0,73.17,4,caught,2,Australia,Vadodara,2009-10-25,ODI # 2913,0,0
10,32,16,1,0,62.5,3,caught,2,Australia,Mohali,2009-11-02,ODI # 2919,0,0
27,20,19,4,0,142.1,7,bowled,1,Sri Lanka,Rajkot,2009-12-15,ODI # 2932,0,0
54,93,65,7,0,83.07,4,lbw,1,Sri Lanka,Nagpur,2009-12-18,ODI # 2933,0,0
107,0,114,11,1,93.85,4,caught,2,Sri Lanka,Eden Gardens,2009-12-24,ODI # 2935,0,0
0,0,0,0,0,0.0,-,-,-,Sri Lanka,Delhi,2009-12-27,ODI # 2936,0,1
9,19,12,1,0,75.0,3,caught,1,Sri Lanka,Mirpur,2010-01-05,ODI # 2938,0,0
91,136,102,7,0,89.21,3,caught,2,Bangladesh,Mirpur,2010-01-07,ODI # 2939,0,0
71,98,68,9,0,104.41,3,not out,2,Sri Lanka,Mirpur,2010-01-10,ODI # 2941,1,0
102,128,95,11,0,107.36,3,not out,2,Bangladesh,Mirpur,2010-01-11,ODI # 2942,1,0
