Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Scorecard,is_not_out,DNB
26,30,21,3,1,123.8,5,not out,2,Zimbabwe,Harare,2010-06-12,T20I # 182,1,0
0,0,0,0,0,0.0,-,-,2,Zimbabwe,Harare,2010-06-13,T20I # 183,0,1
28,28,19,5,0,147.36,1,bowled,1,South Africa,Durban,2011-01-09,T20I # 196,0,0
14,15,12,2,0,116.66,3,caught,1,West Indies,Port of Spain,2011-06-04,T20I # 200,0,0
4,5,5,0,0,80.0,4,caught,1,England,Manchester,2011-08-31,T20I # 204,0,0
15,21,16,3,0,93.75,3,caught,1,England,Eden Gardens,2011-10-29,T20I # 214,0,0
22,30,21,0,1,104.76,3,caught,2,Australia,Sydney,2012-02-01,T20I # 217,0,0
31,29,24,3,0,129.16,3,caught,2,Australia,Melbourne,2012-02-03,T20I # 218,0,0
0,0,0,0,0,0.0,-,-,2,South Africa,Johannesburg,2012-03-30,T20I # 242,0,1
68,65,48,11,1,141.66,3,caught,1,Sri Lanka,Pallekele,2012-08-07,T20I # 255,0,0
70,67,41,10,1,170.73,2,caught,2,New Zealand,Chennai,2012-09-11,T20I # 261,0,0
50,60,39,4,2,128.2,3,caught,1,Afghanistan,Colombo (RPS),2012-09-19,T20I # 265,0,0
40,33,32,6,0,125.0,3,caught,1,England,Colombo (RPS),2012-09-23,T20I # 272,0,0
15,18,13,2,0,115.38,3,caught,1,Australia,Colombo (RPS),2012-09-28,T20I # 278,0,0
78,61,61,8,2,127.86,3,not out,2,Pakistan,Colombo (RPS),2012-09-30,T20I # 282,1,0
2,5,6,0,0,33.33,3,caught,1,South Africa,Colombo (RPS),2012-10-02,T20I # 286,0,0
21,35,17,2,0,123.52,3,bowled,2,England,Pune,2012-12-20,T20I # 292,0,0
38,25,20,7,0,190.0,3,lbw,1,England,Wankhede,2012-12-22,T20I # 294,0,0
9,15,11,1,0,81.81,3,caught,1,Pakistan,Bengaluru,2012-12-25,T20I # 296,0,0
27,31,22,3,0,122.72,3,run out,1,Pakistan,Ahmedabad,2012-12-28,T20I # 298,0,0
29,26,22,2,1,131.81,4,caught,2,Australia,Rajkot,2013-10-10,T20I # 331,0,0
36,45,32,4,1,112.5,3,not out,2,Pakistan,Mirpur,2014-03-21,T20I # 378,1,0
54,51,41,5,1,131.7,3,bowled,2,West Indies,Mirpur,2014-03-23,T20I # 382,0,0
57,66,50,3,1,114.0,3,not out,2,Bangladesh,Mirpur,2014-03-28,T20I # 389,1,0
23,23,22,2,1,104.54,3,caught,1,Australia,Mirpur,2014-03-30,T20I # 393,0,0
72,67,44,5,2,163.63,3,not out,2,South Africa,Mirpur,2014-04-04,T20I # 399,1,0
77,75,58,5,4,132.75,3,run out,1,Sri Lanka,Mirpur,2014-04-06,T20I # 400,0,0
66,54,41,9,1,160.97,3,caught,2,England,Birmingham,2014-09-07,T20I # 405,0,0
43,58,27,1,3,159.25,3,caught,1,South Africa,Dharamsala,2015-10-02,T20I # 456,0,0
1,3,1,0,0,100.0,3,run out,1,South Africa,Cuttack,2015-10-05,T20I # 457,0,0
90,71,55,9,2,163.63,3,not out,1,Australia,Adelaide,2016-01-26,T20I # 485,1,0
59,44,33,7,1,178.78,3,not out,1,Australia,Melbourne,2016-01-29,T20I # 486,1,0
50,49,36,2,1,138.88,3,bowled,2,Australia,Sydney,2016-01-31,T20I # 489,0,0
7,13,12,1,0,58.33,3,caught,1,Bangladesh,Mirpur,2016-02-24,T20I # 509,0,0
49,71,51,7,0,96.07,3,lbw,2,Pakistan,Mirpur,2016-02-27,T20I # 512,0,0
56,85,47,7,0,119.14,3,not out,2,Sri Lanka,Mirpur,2016-03-01,T20I # 515,1,0
0,0,0,0,0,0.0,-,-,2,U.A.E.,Mirpur,2016-03-03,T20I # 517,0,1
41,62,28,5,0,146.42,3,not out,2,Bangladesh,Mirpur,2016-03-06,T20I # 521,1,0
23,0,27,2,0,85.18,3,caught,2,New Zealand,Nagpur,2016-03-15,T20I # 535,0,0
55,66,37,7,1,148.64,3,not out,2,Pakistan,Eden Gardens,2016-03-19,T20I # 541,1,0
24,37,24,0,1,100.0,3,bowled,1,Bangladesh,Bengaluru,2016-03-23,T20I # 547,0,0
82,78,51,9,2,160.78,3,not out,2,Australia,Mohali,2016-03-27,T20I # 553,1,0
89,63,47,11,1,189.36,3,not out,1,West Indies,Wankhede,2016-03-31,T20I # 556,1,0
16,8,9,3,0,177.77,3,caught,2,West Indies,Lauderhill,2016-08-27,T20I # 562,0,0
0,0,0,0,0,0.0,-,-,2,West Indies,Lauderhill,2016-08-28,T20I # 563,0,1
29,34,26,4,0,111.53,1,caught,1,England,Kanpur,2017-01-26,T20I # 592,0,0
21,17,15,2,1,140.0,1,caught,1,England,Nagpur,2017-01-29,T20I # 593,0,0
2,6,4,0,0,50.0,1,run out,1,England,Bengaluru,2017-02-01,T20I # 594,0,0
39,0,22,7,1,177.27,1,caught,1,West Indies,Kingston,2017-07-09,T20I # 617,0,0
82,0,54,7,1,151.85,3,caught,2,Sri Lanka,Colombo (RPS),2017-09-06,T20I # 618,0,0
22,19,14,3,0,157.14,3,not out,2,Australia,Ranchi,2017-10-07,T20I # 623,1,0
0,2,2,0,0,0.0,3,caught,1,Australia,Guwahati,2017-10-10,T20I # 624,0,0
26,19,11,0,3,236.36,4,not out,1,New Zealand,Delhi,2017-11-01,T20I # 630,1,0
65,59,42,8,1,154.76,4,caught,2,New Zealand,Rajkot,2017-11-04,T20I # 631,0,0
13,6,6,1,1,216.66,3,caught,1,New Zealand,Thiruvananthapuram,2017-11-07,T20I # 632,0,0
26,26,20,2,1,130.0,4,lbw,1,South Africa,Johannesburg,2018-02-18,T20I # 652,0,0
1,6,5,0,0,20.0,4,caught,1,South Africa,Centurion,2018-02-21,T20I # 654,0,0
0,1,2,0,0,0.0,6,caught,1,Ireland,Dublin (Malahide),2018-06-27,T20I # 678,0,0
9,0,8,1,0,112.5,2,caught,1,Ireland,Dublin (Malahide),2018-06-29,T20I # 680,0,0
20,0,22,0,1,90.9,4,not out,2,England,Manchester,2018-07-03,T20I # 684,1,0
47,0,38,1,2,123.68,4,caught,1,England,Cardiff,2018-07-06,T20I # 688,0,0
43,0,29,2,2,148.27,4,caught,2,England,Bristol,2018-07-08,T20I # 690,0,0
4,0,8,0,0,50.0,4,caught,2,Australia,Brisbane,2018-11-21,T20I # 712,0,0
0,0,0,0,0,0.0,-,-,-,Australia,Melbourne,2018-11-23,T20I # 713,0,1
61,0,41,4,2,148.78,3,not out,2,Australia,Sydney,2018-11-25,T20I # 714,1,0
24,25,17,3,0,141.17,3,caught,1,Australia,Visakhapatnam,2019-02-24,T20I # 748,0,0
72,63,38,2,6,189.47,3,not out,1,Australia,Bengaluru,2019-02-27,T20I # 749,1,0
19,0,29,1,0,65.51,3,caught,2,West Indies,Lauderhill,2019-08-03,T20I # 842,0,0
28,0,23,1,1,121.73,3,bowled,1,West Indies,Lauderhill,2019-08-04,T20I # 843,0,0
59,0,45,6,0,131.11,3,caught,2,West Indies,Providence,2019-08-06,T20I # 846,0,0
72,66,52,4,3,138.46,3,not out,2,South Africa,Mohali,2019-09-18,T20I # 888,1,0
9,28,15,0,0,60.0,3,caught,1,South Africa,Bengaluru,2019-09-22,T20I # 893,0,0
94,0,50,6,6,188.0,3,not out,2,West Indies,Hyderabad,2019-12-06,T20I # 1020,1,0
19,0,17,2,0,111.76,4,caught,1,West Indies,Thiruvananthapuram,2019-12-08,T20I # 1022,0,0
70,0,29,4,7,241.37,4,not out,1,West Indies,Wankhede,2019-12-11,T20I # 1024,1,0
0,0,0,0,0,0.0,-,-,-,Sri Lanka,Guwahati,2020-01-05,T20I # 1025,0,1
30,0,17,1,2,176.47,4,not out,2,Sri Lanka,Indore,2020-01-07,T20I # 1026,1,0
26,0,17,2,1,152.94,6,run out,1,Sri Lanka,Pune,2020-01-10,T20I # 1027,0,0
45,0,32,3,1,140.62,3,caught,2,New Zealand,Auckland,2020-01-24,T20I # 1031,0,0
11,21,12,1,0,91.66,3,caught,2,New Zealand,Auckland,2020-01-26,T20I # 1034,0,0
38,31,27,2,1,140.74,4,caught,1,New Zealand,Hamilton,2020-01-29,T20I # 1035,0,0
11,16,9,2,0,122.22,3,caught,1,New Zealand,Wellington,2020-01-31,T20I # 1036,0,0
